ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,5.23,50.04, 777, 1649
 10,, 3,6.05,50.80, 493, 1515
 11,, 3,4.37,27.13, 298, 894
 12,, 2,8.64,10.06, 7, 13
 13,, 3,8.19,10.71, 7, 13
 14,, 5,11.53,13.60, 2, 3
 15,, 6,8.84,136.50, 2739, 5701
 16,, 1,7.97,9.01, 2, 11
 17,, 3,8.58,10.48, 7, 20
 18,, 2,11.86,13.57, 1, 4
 19,, 1,7.82,8.56, 3, 5
 2,, 3,6.71,12.83, 38, 75
 20,, 1,10.80,12.14, 1, 1
 3,, 3,6.16,14.91, 59, 117
 4,, 5,8.40,26.49, 202, 999
 5,, 3,9.06,10.09, 1, 1
 6,, 2,9.65,10.59, 1, 1
 7,, 2,9.56,11.01, 3, 8
 8,, 2,4.68,10.96, 96, 192
 9,, 2,6.45,10.65, 48, 98
