ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,,,,,,
 10,, 4,3.90,234.90, 2722, 8480
 11,, 4,9.15,89.13, 704, 2172
 12,, 3,10.43,12.51, 16, 31
 13,, 4,8.72,11.93, 26, 51
 14,, 7,8.31,9.51, 2, 3
 15,, 8,7.05,64.01, 1306, 2681
 16,, 3,8.05,9.13, 2, 11
 17,, 4,11.69,16.32, 30, 95
 18,, 4,10.81,14.68, 14, 113
 19,, 3,9.99,13.42, 39, 77
 2,, 5,5.09,39.21, 579, 1183
 20,, 2,7.55,8.69, 3, 5
 3,, 5,3.42,19.06, 235, 479
 4,, 5,8.35,17.30, 69, 222
 5,, 4,10.40,15.06, 41, 83
 6,, 3,7.95,8.65, 1, 1
 7,, 3,9.29,15.46, 59, 210
 8,, 3,4.63,187.86, 6487, 12975
 9,, 3,5.50,103.62, 3515, 7031
