ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,10.41,83.34, 777, 1649
 10,, 3,6.40,39.55, 444, 1342
 11,, 3,5.26,13.28, 98, 296
 12,, 2,8.78,9.84, 2, 3
 13,, 3,7.93,9.00, 3, 5
 14,, 5,8.53,10.22, 2, 3
 15,, 6,15.64,123.73, 2125, 4492
 16,, 1,9.80,11.21, 2, 11
 17,, 3,11.60,12.76, 3, 8
 18,, 2,7.44,8.66, 1, 4
 19,, 1,7.51,8.02, 1, 1
 2,, 3,4.51,10.15, 38, 75
 20,, 1,7.93,8.45, 1, 1
 3,, 3,7.30,13.92, 43, 85
 4,, 5,12.31,56.01, 450, 1879
 5,, 3,10.50,11.09, 1, 1
 6,, 2,9.14,9.90, 1, 1
 7,, 2,9.91,11.37, 3, 8
 8,, 2,6.99,21.12, 303, 608
 9,, 2,3.88,12.09, 137, 275
